kecamatan,periode,ndvi_unmasked_mean,ndvi_cropland_mean,cropland_pct
Sulang,2022Q1,0.5431523955865579,0.514580729867369,40.142089477030915
Sarang,2022Q1,0.5662497260872538,0.5162772282445491,49.28458162386916
Sedan,2022Q1,0.6404128785617188,0.5919990280624512,26.368444325462082
Kaliori,2022Q1,0.4130854585373765,0.5187561278811454,57.65315120181934
Gunem,2022Q1,0.48239391296470924,0.458037481920215,24.57658219889265
Sale,2022Q1,0.6288921555554309,0.517699589093323,15.059284300707068
Sumber,2022Q1,0.5576126315842348,0.5450441310349982,49.12904702586943
Bulu,2022Q1,0.5622076987688238,0.5276254528412838,17.451105549217562
Rembang,2022Q2,0.45296546813010535,0.49033519881212,50.751505873221056
Pancur,2022Q2,0.6522992237850124,0.6069751248445889,15.481337496922354
Lasem,2022Q2,0.5509663729694921,0.5761692483116895,16.459052860811457
Kragan,2022Q2,0.49295294955267815,0.47395010639558166,29.170556633757567
Sluke,2022Q2,0.5387059082887663,0.5467299792723331,9.12217467688561
Pamotan,2022Q2,0.590278661966415,0.5747559176241108,36.56497268033711
Sulang,2022Q2,0.5799164634683666,0.5255857068329541,40.142089477030915
Sarang,2022Q2,0.5505859877847529,0.5198146742651445,49.28458162386916
Sedan,2022Q2,0.5178624633042419,0.4564368024337364,26.368444325462082
Kaliori,2022Q2,0.33615207575958156,0.4069297339035522,57.65315120181934
Gunem,2022Q2,0.5544009076100167,0.4895381715363422,24.57658219889265
Sale,2022Q2,0.5530339971706368,0.48161360339642895,15.059284300707068
Sumber,2022Q2,0.5563170907036413,0.4987222528586762,49.12904702586943
Bulu,2022Q2,0.624562450916354,0.4978323600029125,17.451105549217562
Rembang,2022Q3,0.47065287723556437,0.49384151003139837,50.751505873221056
Pancur,2022Q3,0.6282171861511991,0.5274463039138064,15.481337496922354
Lasem,2022Q3,0.5708724015626356,0.5277220219352067,16.459052860811457
Kragan,2022Q3,0.6267114436449644,0.5442725230322121,29.170556633757567
Sluke,2022Q3,0.6752441801010693,0.5390054864803294,9.12217467688561
Pamotan,2022Q3,0.586027571280872,0.5400003959903763,36.56497268033711
Sulang,2022Q3,0.5667589846568793,0.5149765523475122,40.142089477030915
Sarang,2022Q3,0.5500064567539763,0.5111298628339895,49.28458162386916
Sedan,2022Q3,0.6175011896866562,0.5475560656954017,26.368444325462082
Kaliori,2022Q3,0.3876145763712581,0.44073812122502654,57.65315120181934
Gunem,2022Q3,0.5737438727089417,0.5076700802114631,24.57658219889265
Sale,2022Q3,0.6043240756528724,0.5332962116188141,15.059284300707068
Sumber,2022Q3,0.5401578326625551,0.4793919204595329,49.12904702586943
Bulu,2022Q3,0.5967832311864846,0.5029943497915382,17.451105549217562
Rembang,2022Q4,0.5276532607540642,0.550364010484834,50.751505873221056
Pancur,2022Q4,0.6748674899345039,0.5312031737229923,15.481337496922354
